season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-09-29,Palermo,Lazio,0.0,4.0,2,4,0,0,A,1584.09,1634.0,-49.91,0,3,3,3,2,0,0,3,1,1,0,3,6.0,7.0,4.0,5.0,10,11,0,1,1.5751,2.43959,8.448275862068966,7.137931034482759,4.0,2.0
1415,2014-09-29,Udinese,Parma,4.0,2.0,2,1,0,1,H,1640.25,1653.41,-13.16,3,0,9,3,6,3,3,0,1,1,0,3,4.0,2.0,8.0,10.0,5,13,0,1,1.05537,1.86017,23.666666666666668,7.217391304347826,3.0,8.0
1415,2014-10-04,Verona,Cagliari,1.0,0.0,1,3,0,0,H,1610.13,1577.67,32.46,3,0,8,5,4,4,2,2,1,1,1,3,5.0,5.0,7.0,8.0,12,12,0,0,0.962968,2.01475,7.125,7.741935483870968,3.0,8.0
1415,2014-10-04,Milan,Chievo,2.0,0.0,2,5,0,0,H,1731.86,1555.81,176.05,3,0,8,8,3,3,2,2,1,1,1,3,11.0,9.0,5.0,7.0,11,11,2,0,1.60095,0.552252,4.708333333333333,6.928571428571429,6.0,3.0
1415,2014-10-05,Parma,Genoa,1.0,2.0,2,3,0,1,A,1648.64,1582.31,66.33,0,3,3,9,0,2,1,0,4,1,2,2,10.0,14.0,4.0,5.0,14,14,2,1,1.20463,1.77324,7.066666666666666,14.058823529411764,3.0,5.0
1415,2014-10-05,Udinese,Cesena,1.0,1.0,3,3,0,0,D,1655.06,1481.33,173.73,1,1,12,3,9,0,4,0,1,1,2,2,8.0,4.0,4.0,9.0,7,14,0,0,0.836953,2.08506,17.0,13.636363636363637,6.0,7.0
1415,2014-10-05,Sampdoria,Atalanta,1.0,0.0,3,3,0,0,H,1604.36,1588.57,15.79,3,0,11,5,6,3,3,2,0,1,1,3,6.0,2.0,2.0,7.0,13,12,1,0,1.31389,0.586952,11.72,8.12,4.0,12.0
1415,2014-10-05,Napoli,Torino,2.0,1.0,3,3,0,2,H,1774.03,1644.25,129.78,3,0,7,10,1,3,2,1,2,1,2,2,6.0,6.0,3.0,5.0,9,13,0,0,3.28365,0.414036,9.88888888888889,23.272727272727277,6.0,6.0
1415,2014-10-05,Empoli,Palermo,3.0,0.0,0,4,0,0,H,1517.13,1572.88,-55.75,3,0,3,6,1,1,0,3,2,0,3,2,5.0,8.0,6.0,11.0,6,12,1,0,1.99387,0.319965,4.575,9.22222222222222,5.0,3.0
1415,2014-10-05,Juventus,Roma,3.0,2.0,4,3,1,1,H,1921.07,1813.31,107.76,3,0,15,9,6,6,5,0,0,5,0,0,10.0,0.0,9.0,1.0,7,10,0,0,3.04854,1.76638,16.047619047619047,15.4,4.0,3.0
