league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ITA-Serie A,1415,2014-10-05 Empoli-Palermo,2,2014,5071,2014-10-05 11:30:00,108,100,Empoli,Palermo,PAL,EMP,0,0.2763,0,0.319965,0.319965,-1.673905,9.222222222222221,3,3,2.571,3,1.99387,1.99387,1.673905,4.575,5
ITA-Serie A,1415,2014-10-05 Fiorentina-Inter,2,2014,5077,2014-10-05 19:45:00,110,106,Fiorentina,Inter,INT,FIO,0,0.2845,0,0.617229,0.617229,-1.5029309999999998,8.0,7,3,2.5791999999999997,3,2.12016,2.12016,1.5029309999999998,11.541666666666666,3
ITA-Serie A,1415,2014-10-05 Juventus-Roma,2,2014,5076,2014-10-05 17:00:00,98,95,Juventus,Roma,ROM,JUV,0,0.5287,2,1.76638,1.00508,-0.52094,15.4,3,3,2.2849,3,3.04854,1.52602,0.52094,16.047619047619047,4
ITA-Serie A,1415,2014-10-05 Lazio-Sassuolo,2,2014,5075,2014-10-05 14:00:00,96,104,Lazio,Sassuolo,SAS,LAZ,0,1.4213,2,1.67343,0.912128,-0.691282,9.0,6,3,1.2899,3,1.60341,1.60341,0.691282,7.0,7
ITA-Serie A,1415,2014-10-05 Napoli-Torino,2,2014,5078,2014-10-05 19:45:00,105,113,Napoli,Torino,TOR,NAP,0,0.0638,1,0.414036,0.414036,-2.8696140000000003,23.272727272727273,6,3,2.8960999999999997,2,3.28365,3.28365,2.8696140000000003,9.88888888888889,6
ITA-Serie A,1415,2014-10-05 Parma-Genoa,2,2014,5072,2014-10-05 14:00:00,204,101,Parma,Genoa,GEN,PAR,3,1.8239999999999998,2,1.77324,1.77324,0.5686099999999998,14.058823529411764,5,0,0.8862000000000001,1,1.20463,1.20463,-0.5686099999999998,7.066666666666666,3
ITA-Serie A,1415,2014-10-05 Sampdoria-Atalanta,2,2014,5073,2014-10-05 14:00:00,102,107,Sampdoria,Atalanta,ATA,SAM,0,0.7362,0,0.586952,0.586952,-0.726938,8.12,12,3,1.9775999999999998,1,1.31389,1.31389,0.726938,11.72,4
ITA-Serie A,1415,2014-10-05 Udinese-Cesena,2,2014,5074,2014-10-05 14:00:00,99,203,Udinese,Cesena,CES,UDI,1,2.3524,1,2.08506,1.32376,0.4868070000000001,13.636363636363637,7,1,0.4672,1,0.836953,0.836953,-0.4868070000000001,17.0,6
ITA-Serie A,1415,2014-10-18 Roma-Chievo,2,2014,5079,2014-10-18 17:00:00,95,109,Roma,Chievo,CHI,ROM,0,0.3899,0,0.324071,0.324071,-0.308122,17.035714285714285,1,3,2.3891,3,1.39349,0.632193,0.308122,7.142857142857143,6
ITA-Serie A,1415,2014-10-18 Sassuolo-Juventus,2,2014,5080,2014-10-18 19:45:00,104,98,Sassuolo,Juventus,JUV,SAS,1,2.2704,1,1.94022,1.94022,1.178264,6.0,15,1,0.5124,1,0.761956,0.761956,-1.178264,9.461538461538462,4
